year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,5.0
2005,11,8.0
2005,12,18.0
2006,1,34.0
2006,2,10.0
2006,3,39.0
2006,4,39.0
2006,5,51.0
2006,6,39.0
2006,7,61.0
2006,8,49.0
2006,9,45.0
2006,10,60.0
2006,11,40.0
2006,12,32.0
2007,1,14.0
2007,2,27.0
2007,3,29.0
2007,4,23.0
2007,5,26.0
2007,6,34.0
2007,7,45.0
2007,8,56.0
2007,9,58.0
2007,10,31.0
2007,11,21.0
2007,12,23.0
2008,1,23.0
2008,2,19.0
2008,3,26.0
2008,4,27.0
2008,5,22.0
2008,6,22.0
2008,7,28.0
2008,8,25.0
2008,9,20.0
2008,10,11.0
2008,11,6.0
2008,12,1.0
2009,1,1.0
2009,2,1.0
2009,3,1.0
2009,4,0.0
2009,5,2.0
2009,6,2.0
2009,7,0.0
2009,8,0.0
2009,9,1.0
2009,10,2.0
2009,11,1.0
2009,12,1.0
