year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,2.0
2005,12,3.0
2006,1,4.0
2006,2,2.0
2006,3,6.0
2006,4,6.0
2006,5,10.0
2006,6,7.0
2006,7,9.0
2006,8,18.0
2006,9,13.0
2006,10,9.0
2006,11,10.0
2006,12,11.0
2007,1,8.0
2007,2,16.0
2007,3,7.0
2007,4,9.0
2007,5,9.0
2007,6,15.0
2007,7,13.0
2007,8,7.0
2007,9,10.0
2007,10,7.0
2007,11,4.0
2007,12,6.0
2008,1,7.0
2008,2,7.0
2008,3,13.0
2008,4,4.0
2008,5,8.0
2008,6,6.0
2008,7,4.0
2008,8,5.0
2008,9,6.0
2008,10,2.0
2008,11,1.0
2008,12,1.0
2009,1,2.0
2009,2,2.0
2009,3,2.0
2009,4,1.0
2009,5,0.0
2009,6,0.0
2009,7,0.0
2009,8,0.0
2009,9,0.0
2009,10,1.0
2009,11,0.0
2009,12,0.0
