year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,0.0
2006,11,0.0
2006,12,0.0
2007,1,0.0
2007,2,0.0
2007,3,0.0
2007,4,0.0
2007,5,0.0
2007,6,0.0
2007,7,0.0
2007,8,4.0
2007,9,1.0
2007,10,5.0
2007,11,5.0
2007,12,4.0
2008,1,6.0
2008,2,3.0
2008,3,24.0
2008,4,14.0
2008,5,35.0
2008,6,57.0
2008,7,56.0
2008,8,67.0
2008,9,86.0
2008,10,46.0
2008,11,67.0
2008,12,84.0
2009,1,61.0
2009,2,48.0
2009,3,110.0
2009,4,111.0
2009,5,140.0
2009,6,163.0
2009,7,195.0
2009,8,124.0
2009,9,118.0
2009,10,68.0
2009,11,46.0
2009,12,31.0
