year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,1.0
2005,12,1.0
2006,1,5.0
2006,2,5.0
2006,3,6.0
2006,4,8.0
2006,5,7.0
2006,6,10.0
2006,7,9.0
2006,8,14.0
2006,9,10.0
2006,10,20.0
2006,11,10.0
2006,12,20.0
2007,1,13.0
2007,2,12.0
2007,3,12.0
2007,4,14.0
2007,5,16.0
2007,6,21.0
2007,7,27.0
2007,8,18.0
2007,9,27.0
2007,10,13.0
2007,11,16.0
2007,12,19.0
2008,1,16.0
2008,2,18.0
2008,3,25.0
2008,4,16.0
2008,5,12.0
2008,6,14.0
2008,7,15.0
2008,8,10.0
2008,9,5.0
2008,10,3.0
2008,11,7.0
2008,12,2.0
2009,1,3.0
2009,2,0.0
2009,3,6.0
2009,4,0.0
2009,5,1.0
2009,6,1.0
2009,7,0.0
2009,8,0.0
2009,9,3.0
2009,10,2.0
2009,11,1.0
2009,12,1.0
