year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,1.0
2005,11,4.0
2005,12,6.0
2006,1,18.0
2006,2,10.0
2006,3,22.0
2006,4,30.0
2006,5,31.0
2006,6,37.0
2006,7,52.0
2006,8,51.0
2006,9,64.0
2006,10,59.0
2006,11,79.0
2006,12,72.0
2007,1,46.0
2007,2,69.0
2007,3,71.0
2007,4,87.0
2007,5,73.0
2007,6,68.0
2007,7,90.0
2007,8,74.0
2007,9,92.0
2007,10,79.0
2007,11,66.0
2007,12,68.0
2008,1,64.0
2008,2,74.0
2008,3,63.0
2008,4,40.0
2008,5,40.0
2008,6,43.0
2008,7,49.0
2008,8,45.0
2008,9,39.0
2008,10,23.0
2008,11,30.0
2008,12,16.0
2009,1,6.0
2009,2,6.0
2009,3,11.0
2009,4,2.0
2009,5,3.0
2009,6,1.0
2009,7,2.0
2009,8,4.0
2009,9,6.0
2009,10,1.0
2009,11,1.0
2009,12,5.0
