year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,2.0
2005,11,2.0
2005,12,8.0
2006,1,15.0
2006,2,30.0
2006,3,41.0
2006,4,46.0
2006,5,71.0
2006,6,48.0
2006,7,38.0
2006,8,59.0
2006,9,68.0
2006,10,71.0
2006,11,81.0
2006,12,63.0
2007,1,63.0
2007,2,62.0
2007,3,52.0
2007,4,40.0
2007,5,35.0
2007,6,36.0
2007,7,35.0
2007,8,31.0
2007,9,34.0
2007,10,40.0
2007,11,34.0
2007,12,29.0
2008,1,24.0
2008,2,11.0
2008,3,24.0
2008,4,17.0
2008,5,10.0
2008,6,16.0
2008,7,13.0
2008,8,11.0
2008,9,11.0
2008,10,7.0
2008,11,16.0
2008,12,11.0
2009,1,10.0
2009,2,7.0
2009,3,10.0
2009,4,11.0
2009,5,4.0
2009,6,3.0
2009,7,5.0
2009,8,4.0
2009,9,5.0
2009,10,1.0
2009,11,2.0
2009,12,1.0
