year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,3.0
2005,12,14.0
2006,1,44.0
2006,2,62.0
2006,3,98.0
2006,4,95.0
2006,5,121.0
2006,6,106.0
2006,7,144.0
2006,8,149.0
2006,9,181.0
2006,10,191.0
2006,11,231.0
2006,12,191.0
2007,1,211.0
2007,2,224.0
2007,3,224.0
2007,4,197.0
2007,5,182.0
2007,6,190.0
2007,7,189.0
2007,8,135.0
2007,9,162.0
2007,10,170.0
2007,11,154.0
2007,12,125.0
2008,1,84.0
2008,2,99.0
2008,3,96.0
2008,4,79.0
2008,5,44.0
2008,6,47.0
2008,7,38.0
2008,8,28.0
2008,9,26.0
2008,10,15.0
2008,11,7.0
2008,12,5.0
2009,1,2.0
2009,2,5.0
2009,3,5.0
2009,4,1.0
2009,5,0.0
2009,6,0.0
2009,7,0.0
2009,8,0.0
2009,9,0.0
2009,10,1.0
2009,11,0.0
2009,12,0.0
