year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,1.0
2006,2,2.0
2006,3,5.0
2006,4,6.0
2006,5,4.0
2006,6,5.0
2006,7,5.0
2006,8,10.0
2006,9,14.0
2006,10,12.0
2006,11,7.0
2006,12,10.0
2007,1,10.0
2007,2,12.0
2007,3,11.0
2007,4,10.0
2007,5,13.0
2007,6,6.0
2007,7,11.0
2007,8,12.0
2007,9,11.0
2007,10,11.0
2007,11,12.0
2007,12,14.0
2008,1,16.0
2008,2,10.0
2008,3,18.0
2008,4,24.0
2008,5,12.0
2008,6,12.0
2008,7,7.0
2008,8,12.0
2008,9,9.0
2008,10,8.0
2008,11,4.0
2008,12,5.0
2009,1,2.0
2009,2,2.0
2009,3,1.0
2009,4,1.0
2009,5,3.0
2009,6,4.0
2009,7,0.0
2009,8,1.0
2009,9,1.0
2009,10,2.0
2009,11,0.0
2009,12,0.0
