year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,1.0
2005,12,8.0
2006,1,13.0
2006,2,13.0
2006,3,22.0
2006,4,26.0
2006,5,43.0
2006,6,44.0
2006,7,66.0
2006,8,54.0
2006,9,41.0
2006,10,54.0
2006,11,73.0
2006,12,51.0
2007,1,43.0
2007,2,39.0
2007,3,41.0
2007,4,34.0
2007,5,61.0
2007,6,41.0
2007,7,46.0
2007,8,36.0
2007,9,44.0
2007,10,35.0
2007,11,36.0
2007,12,27.0
2008,1,25.0
2008,2,12.0
2008,3,20.0
2008,4,14.0
2008,5,12.0
2008,6,8.0
2008,7,7.0
2008,8,10.0
2008,9,6.0
2008,10,4.0
2008,11,14.0
2008,12,23.0
2009,1,10.0
2009,2,0.0
2009,3,3.0
2009,4,4.0
2009,5,1.0
2009,6,0.0
2009,7,0.0
2009,8,2.0
2009,9,0.0
2009,10,4.0
2009,11,1.0
2009,12,1.0
