year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,2.0
2005,12,9.0
2006,1,18.0
2006,2,12.0
2006,3,22.0
2006,4,27.0
2006,5,57.0
2006,6,46.0
2006,7,50.0
2006,8,55.0
2006,9,43.0
2006,10,62.0
2006,11,71.0
2006,12,55.0
2007,1,39.0
2007,2,41.0
2007,3,43.0
2007,4,44.0
2007,5,24.0
2007,6,51.0
2007,7,52.0
2007,8,51.0
2007,9,55.0
2007,10,46.0
2007,11,47.0
2007,12,35.0
2008,1,27.0
2008,2,20.0
2008,3,16.0
2008,4,20.0
2008,5,15.0
2008,6,8.0
2008,7,8.0
2008,8,10.0
2008,9,7.0
2008,10,11.0
2008,11,2.0
2008,12,3.0
2009,1,1.0
2009,2,1.0
2009,3,1.0
2009,4,0.0
2009,5,0.0
2009,6,0.0
2009,7,0.0
2009,8,2.0
2009,9,0.0
2009,10,0.0
2009,11,0.0
2009,12,0.0
