year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,2.0
2005,11,3.0
2005,12,3.0
2006,1,12.0
2006,2,6.0
2006,3,17.0
2006,4,9.0
2006,5,22.0
2006,6,37.0
2006,7,49.0
2006,8,35.0
2006,9,58.0
2006,10,58.0
2006,11,49.0
2006,12,47.0
2007,1,36.0
2007,2,61.0
2007,3,60.0
2007,4,48.0
2007,5,43.0
2007,6,45.0
2007,7,56.0
2007,8,62.0
2007,9,64.0
2007,10,36.0
2007,11,36.0
2007,12,11.0
2008,1,27.0
2008,2,34.0
2008,3,37.0
2008,4,34.0
2008,5,30.0
2008,6,24.0
2008,7,32.0
2008,8,31.0
2008,9,20.0
2008,10,17.0
2008,11,11.0
2008,12,8.0
2009,1,7.0
2009,2,3.0
2009,3,1.0
2009,4,1.0
2009,5,0.0
2009,6,1.0
2009,7,2.0
2009,8,1.0
2009,9,0.0
2009,10,1.0
2009,11,0.0
2009,12,1.0
