year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,0.0
2006,11,0.0
2006,12,0.0
2007,1,0.0
2007,2,0.0
2007,3,0.0
2007,4,0.0
2007,5,0.0
2007,6,0.0
2007,7,2.0
2007,8,10.0
2007,9,38.0
2007,10,52.0
2007,11,61.0
2007,12,65.0
2008,1,52.0
2008,2,26.0
2008,3,52.0
2008,4,45.0
2008,5,51.0
2008,6,48.0
2008,7,45.0
2008,8,32.0
2008,9,42.0
2008,10,33.0
2008,11,22.0
2008,12,21.0
2009,1,28.0
2009,2,6.0
2009,3,29.0
2009,4,26.0
2009,5,27.0
2009,6,36.0
2009,7,44.0
2009,8,42.0
2009,9,30.0
2009,10,14.0
2009,11,17.0
2009,12,4.0
