year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,1.0
2005,10,9.0
2005,11,4.0
2005,12,5.0
2006,1,3.0
2006,2,11.0
2006,3,13.0
2006,4,21.0
2006,5,19.0
2006,6,25.0
2006,7,41.0
2006,8,27.0
2006,9,35.0
2006,10,51.0
2006,11,40.0
2006,12,40.0
2007,1,25.0
2007,2,55.0
2007,3,27.0
2007,4,36.0
2007,5,45.0
2007,6,44.0
2007,7,51.0
2007,8,55.0
2007,9,63.0
2007,10,47.0
2007,11,54.0
2007,12,66.0
2008,1,43.0
2008,2,38.0
2008,3,68.0
2008,4,45.0
2008,5,41.0
2008,6,62.0
2008,7,65.0
2008,8,42.0
2008,9,52.0
2008,10,40.0
2008,11,29.0
2008,12,19.0
2009,1,20.0
2009,2,20.0
2009,3,22.0
2009,4,17.0
2009,5,21.0
2009,6,19.0
2009,7,24.0
2009,8,19.0
2009,9,17.0
2009,10,17.0
2009,11,14.0
2009,12,11.0
