year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,3.0
2005,10,5.0
2005,11,14.0
2005,12,23.0
2006,1,10.0
2006,2,24.0
2006,3,31.0
2006,4,41.0
2006,5,63.0
2006,6,21.0
2006,7,22.0
2006,8,21.0
2006,9,25.0
2006,10,22.0
2006,11,14.0
2006,12,30.0
2007,1,26.0
2007,2,16.0
2007,3,34.0
2007,4,32.0
2007,5,23.0
2007,6,28.0
2007,7,40.0
2007,8,44.0
2007,9,59.0
2007,10,50.0
2007,11,42.0
2007,12,28.0
2008,1,26.0
2008,2,17.0
2008,3,37.0
2008,4,22.0
2008,5,7.0
2008,6,14.0
2008,7,11.0
2008,8,21.0
2008,9,9.0
2008,10,10.0
2008,11,12.0
2008,12,4.0
2009,1,4.0
2009,2,1.0
2009,3,3.0
2009,4,2.0
2009,5,0.0
2009,6,0.0
2009,7,0.0
2009,8,1.0
2009,9,2.0
2009,10,0.0
2009,11,0.0
2009,12,2.0
