year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,5.0
2005,11,7.0
2005,12,6.0
2006,1,17.0
2006,2,28.0
2006,3,40.0
2006,4,37.0
2006,5,40.0
2006,6,51.0
2006,7,59.0
2006,8,54.0
2006,9,70.0
2006,10,95.0
2006,11,93.0
2006,12,90.0
2007,1,117.0
2007,2,118.0
2007,3,128.0
2007,4,103.0
2007,5,87.0
2007,6,92.0
2007,7,115.0
2007,8,116.0
2007,9,135.0
2007,10,138.0
2007,11,119.0
2007,12,94.0
2008,1,89.0
2008,2,95.0
2008,3,108.0
2008,4,88.0
2008,5,53.0
2008,6,58.0
2008,7,52.0
2008,8,58.0
2008,9,44.0
2008,10,43.0
2008,11,31.0
2008,12,31.0
2009,1,25.0
2009,2,16.0
2009,3,13.0
2009,4,6.0
2009,5,8.0
2009,6,7.0
2009,7,8.0
2009,8,4.0
2009,9,8.0
2009,10,14.0
2009,11,3.0
2009,12,8.0
