year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,1.0
2006,11,4.0
2006,12,10.0
2007,1,19.0
2007,2,32.0
2007,3,25.0
2007,4,26.0
2007,5,32.0
2007,6,40.0
2007,7,30.0
2007,8,39.0
2007,9,46.0
2007,10,39.0
2007,11,49.0
2007,12,57.0
2008,1,42.0
2008,2,45.0
2008,3,44.0
2008,4,36.0
2008,5,29.0
2008,6,30.0
2008,7,38.0
2008,8,41.0
2008,9,22.0
2008,10,37.0
2008,11,35.0
2008,12,33.0
2009,1,24.0
2009,2,17.0
2009,3,3.0
2009,4,6.0
2009,5,9.0
2009,6,6.0
2009,7,5.0
2009,8,3.0
2009,9,2.0
2009,10,1.0
2009,11,0.0
2009,12,3.0
