year,month,number_repair
2005,1,0
2005,2,0
2005,3,0
2005,4,0
2005,5,0
2005,6,0
2005,7,0
2005,8,0
2005,9,0
2005,10,0
2005,11,0
2005,12,0
2006,1,0
2006,2,0
2006,3,0
2006,4,0
2006,5,0
2006,6,0
2006,7,0
2006,8,0
2006,9,0
2006,10,0
2006,11,0
2006,12,0
2007,1,0
2007,2,0
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0
2007,8,8
2007,9,23
2007,10,66
2007,11,103
2007,12,238
2008,1,418
2008,2,291
2008,3,774
2008,4,671
2008,5,820
2008,6,869
2008,7,1059
2008,8,1087
2008,9,1267
2008,10,1059
2008,11,1129
2008,12,991
2009,1,925
2009,2,738
2009,3,1232
2009,4,1038
2009,5,1013
2009,6,1116
2009,7,1231
2009,8,1127
2009,9,879
2009,10,433
2009,11,286
2009,12,154
