year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,9.0
2005,11,24.0
2005,12,25.0
2006,1,44.0
2006,2,46.0
2006,3,57.0
2006,4,111.0
2006,5,107.0
2006,6,108.0
2006,7,94.0
2006,8,109.0
2006,9,117.0
2006,10,138.0
2006,11,146.0
2006,12,132.0
2007,1,148.0
2007,2,174.0
2007,3,244.0
2007,4,263.0
2007,5,239.0
2007,6,303.0
2007,7,453.0
2007,8,536.0
2007,9,500.0
2007,10,569.0
2007,11,444.0
2007,12,583.0
2008,1,571.0
2008,2,550.0
2008,3,601.0
2008,4,515.0
2008,5,330.0
2008,6,402.0
2008,7,520.0
2008,8,602.0
2008,9,531.0
2008,10,406.0
2008,11,366.0
2008,12,213.0
2009,1,119.0
2009,2,95.0
2009,3,54.0
2009,4,20.0
2009,5,25.0
2009,6,16.0
2009,7,31.0
2009,8,18.0
2009,9,24.0
2009,10,24.0
2009,11,11.0
2009,12,5.0
