year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,3.0
2006,11,16.0
2006,12,33.0
2007,1,78.0
2007,2,130.0
2007,3,130.0
2007,4,111.0
2007,5,108.0
2007,6,172.0
2007,7,140.0
2007,8,167.0
2007,9,207.0
2007,10,205.0
2007,11,205.0
2007,12,206.0
2008,1,243.0
2008,2,196.0
2008,3,221.0
2008,4,181.0
2008,5,159.0
2008,6,193.0
2008,7,162.0
2008,8,157.0
2008,9,179.0
2008,10,168.0
2008,11,200.0
2008,12,145.0
2009,1,127.0
2009,2,119.0
2009,3,96.0
2009,4,76.0
2009,5,70.0
2009,6,65.0
2009,7,32.0
2009,8,26.0
2009,9,21.0
2009,10,15.0
2009,11,8.0
2009,12,6.0
