year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,2.0
2005,10,2.0
2005,11,8.0
2005,12,19.0
2006,1,12.0
2006,2,24.0
2006,3,34.0
2006,4,33.0
2006,5,33.0
2006,6,29.0
2006,7,44.0
2006,8,55.0
2006,9,77.0
2006,10,65.0
2006,11,67.0
2006,12,90.0
2007,1,83.0
2007,2,79.0
2007,3,82.0
2007,4,99.0
2007,5,61.0
2007,6,68.0
2007,7,92.0
2007,8,85.0
2007,9,94.0
2007,10,107.0
2007,11,69.0
2007,12,77.0
2008,1,73.0
2008,2,84.0
2008,3,67.0
2008,4,60.0
2008,5,41.0
2008,6,30.0
2008,7,40.0
2008,8,32.0
2008,9,22.0
2008,10,31.0
2008,11,19.0
2008,12,9.0
2009,1,15.0
2009,2,7.0
2009,3,7.0
2009,4,7.0
2009,5,2.0
2009,6,3.0
2009,7,3.0
2009,8,6.0
2009,9,9.0
2009,10,3.0
2009,11,3.0
2009,12,1.0
