year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,0.0
2006,11,0.0
2006,12,0.0
2007,1,0.0
2007,2,0.0
2007,3,1.0
2007,4,61.0
2007,5,72.0
2007,6,78.0
2007,7,294.0
2007,8,372.0
2007,9,366.0
2007,10,407.0
2007,11,457.0
2007,12,438.0
2008,1,545.0
2008,2,431.0
2008,3,804.0
2008,4,572.0
2008,5,781.0
2008,6,776.0
2008,7,1099.0
2008,8,1424.0
2008,9,1307.0
2008,10,831.0
2008,11,722.0
2008,12,713.0
2009,1,705.0
2009,2,606.0
2009,3,1029.0
2009,4,998.0
2009,5,691.0
2009,6,527.0
2009,7,614.0
2009,8,581.0
2009,9,809.0
2009,10,399.0
2009,11,325.0
2009,12,221.0
