year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,0.0
2006,11,0.0
2006,12,0.0
2007,1,0.0
2007,2,0.0
2007,3,0.0
2007,4,0.0
2007,5,0.0
2007,6,0.0
2007,7,0.0
2007,8,38.0
2007,9,63.0
2007,10,185.0
2007,11,256.0
2007,12,244.0
2008,1,295.0
2008,2,180.0
2008,3,352.0
2008,4,324.0
2008,5,413.0
2008,6,457.0
2008,7,614.0
2008,8,767.0
2008,9,798.0
2008,10,550.0
2008,11,479.0
2008,12,505.0
2009,1,460.0
2009,2,414.0
2009,3,700.0
2009,4,619.0
2009,5,537.0
2009,6,459.0
2009,7,489.0
2009,8,387.0
2009,9,338.0
2009,10,377.0
2009,11,314.0
2009,12,219.0
