year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,0.0
2006,11,0.0
2006,12,1.0
2007,1,4.0
2007,2,4.0
2007,3,9.0
2007,4,7.0
2007,5,10.0
2007,6,18.0
2007,7,14.0
2007,8,15.0
2007,9,19.0
2007,10,24.0
2007,11,22.0
2007,12,11.0
2008,1,16.0
2008,2,17.0
2008,3,31.0
2008,4,30.0
2008,5,23.0
2008,6,29.0
2008,7,25.0
2008,8,20.0
2008,9,22.0
2008,10,27.0
2008,11,32.0
2008,12,25.0
2009,1,35.0
2009,2,20.0
2009,3,11.0
2009,4,10.0
2009,5,14.0
2009,6,6.0
2009,7,9.0
2009,8,5.0
2009,9,3.0
2009,10,2.0
2009,11,1.0
2009,12,0.0
