year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,7.0
2005,10,21.0
2005,11,27.0
2005,12,35.0
2006,1,52.0
2006,2,52.0
2006,3,72.0
2006,4,89.0
2006,5,90.0
2006,6,68.0
2006,7,91.0
2006,8,97.0
2006,9,78.0
2006,10,94.0
2006,11,80.0
2006,12,74.0
2007,1,110.0
2007,2,143.0
2007,3,174.0
2007,4,166.0
2007,5,125.0
2007,6,181.0
2007,7,286.0
2007,8,354.0
2007,9,305.0
2007,10,365.0
2007,11,233.0
2007,12,314.0
2008,1,335.0
2008,2,331.0
2008,3,388.0
2008,4,293.0
2008,5,178.0
2008,6,198.0
2008,7,222.0
2008,8,282.0
2008,9,263.0
2008,10,174.0
2008,11,180.0
2008,12,85.0
2009,1,60.0
2009,2,45.0
2009,3,19.0
2009,4,23.0
2009,5,12.0
2009,6,13.0
2009,7,18.0
2009,8,6.0
2009,9,10.0
2009,10,16.0
2009,11,12.0
2009,12,16.0
