year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,9.0
2005,11,23.0
2005,12,22.0
2006,1,23.0
2006,2,30.0
2006,3,50.0
2006,4,44.0
2006,5,48.0
2006,6,60.0
2006,7,74.0
2006,8,109.0
2006,9,98.0
2006,10,94.0
2006,11,74.0
2006,12,86.0
2007,1,62.0
2007,2,93.0
2007,3,104.0
2007,4,106.0
2007,5,101.0
2007,6,116.0
2007,7,151.0
2007,8,115.0
2007,9,161.0
2007,10,129.0
2007,11,135.0
2007,12,200.0
2008,1,150.0
2008,2,170.0
2008,3,180.0
2008,4,148.0
2008,5,181.0
2008,6,179.0
2008,7,125.0
2008,8,148.0
2008,9,117.0
2008,10,111.0
2008,11,100.0
2008,12,111.0
2009,1,79.0
2009,2,82.0
2009,3,108.0
2009,4,83.0
2009,5,62.0
2009,6,57.0
2009,7,64.0
2009,8,56.0
2009,9,82.0
2009,10,44.0
2009,11,80.0
2009,12,63.0
