year,month,number_repair
2005,1,0.0
2005,2,1.0
2005,3,2.0
2005,4,14.0
2005,5,22.0
2005,6,38.0
2005,7,66.0
2005,8,86.0
2005,9,101.0
2005,10,97.0
2005,11,147.0
2005,12,151.0
2006,1,191.0
2006,2,198.0
2006,3,247.0
2006,4,249.0
2006,5,226.0
2006,6,239.0
2006,7,265.0
2006,8,221.0
2006,9,281.0
2006,10,263.0
2006,11,238.0
2006,12,224.0
2007,1,248.0
2007,2,267.0
2007,3,279.0
2007,4,242.0
2007,5,196.0
2007,6,190.0
2007,7,180.0
2007,8,158.0
2007,9,141.0
2007,10,108.0
2007,11,98.0
2007,12,75.0
2008,1,47.0
2008,2,46.0
2008,3,49.0
2008,4,20.0
2008,5,14.0
2008,6,12.0
2008,7,10.0
2008,8,13.0
2008,9,8.0
2008,10,6.0
2008,11,4.0
2008,12,11.0
2009,1,3.0
2009,2,0.0
2009,3,3.0
2009,4,3.0
2009,5,1.0
2009,6,2.0
2009,7,1.0
2009,8,2.0
2009,9,0.0
2009,10,0.0
2009,11,1.0
2009,12,2.0
