year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,0.0
2006,11,0.0
2006,12,0.0
2007,1,0.0
2007,2,0.0
2007,3,0.0
2007,4,0.0
2007,5,0.0
2007,6,0.0
2007,7,5.0
2007,8,41.0
2007,9,207.0
2007,10,249.0
2007,11,332.0
2007,12,402.0
2008,1,423.0
2008,2,238.0
2008,3,553.0
2008,4,455.0
2008,5,478.0
2008,6,520.0
2008,7,626.0
2008,8,604.0
2008,9,716.0
2008,10,608.0
2008,11,567.0
2008,12,502.0
2009,1,524.0
2009,2,403.0
2009,3,602.0
2009,4,516.0
2009,5,562.0
2009,6,635.0
2009,7,657.0
2009,8,574.0
2009,9,448.0
2009,10,224.0
2009,11,171.0
2009,12,109.0
