year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,0.0
2006,11,0.0
2006,12,0.0
2007,1,0.0
2007,2,0.0
2007,3,8.0
2007,4,24.0
2007,5,54.0
2007,6,81.0
2007,7,169.0
2007,8,316.0
2007,9,462.0
2007,10,483.0
2007,11,599.0
2007,12,617.0
2008,1,643.0
2008,2,448.0
2008,3,801.0
2008,4,739.0
2008,5,823.0
2008,6,873.0
2008,7,1048.0
2008,8,1019.0
2008,9,1037.0
2008,10,890.0
2008,11,891.0
2008,12,834.0
2009,1,805.0
2009,2,660.0
2009,3,927.0
2009,4,839.0
2009,5,879.0
2009,6,851.0
2009,7,867.0
2009,8,789.0
2009,9,546.0
2009,10,277.0
2009,11,178.0
2009,12,139.0
