year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,9.0
2005,5,8.0
2005,6,16.0
2005,7,40.0
2005,8,41.0
2005,9,36.0
2005,10,50.0
2005,11,69.0
2005,12,55.0
2006,1,68.0
2006,2,62.0
2006,3,118.0
2006,4,68.0
2006,5,85.0
2006,6,63.0
2006,7,87.0
2006,8,90.0
2006,9,91.0
2006,10,97.0
2006,11,120.0
2006,12,111.0
2007,1,130.0
2007,2,145.0
2007,3,176.0
2007,4,145.0
2007,5,110.0
2007,6,119.0
2007,7,131.0
2007,8,83.0
2007,9,125.0
2007,10,111.0
2007,11,86.0
2007,12,69.0
2008,1,83.0
2008,2,37.0
2008,3,48.0
2008,4,42.0
2008,5,12.0
2008,6,10.0
2008,7,9.0
2008,8,11.0
2008,9,5.0
2008,10,5.0
2008,11,3.0
2008,12,6.0
2009,1,9.0
2009,2,7.0
2009,3,5.0
2009,4,5.0
2009,5,6.0
2009,6,2.0
2009,7,4.0
2009,8,1.0
2009,9,4.0
2009,10,3.0
2009,11,4.0
2009,12,5.0
