year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,0.0
2006,11,0.0
2006,12,0.0
2007,1,0.0
2007,2,0.0
2007,3,0.0
2007,4,0.0
2007,5,1.0
2007,6,3.0
2007,7,7.0
2007,8,8.0
2007,9,6.0
2007,10,5.0
2007,11,10.0
2007,12,8.0
2008,1,7.0
2008,2,8.0
2008,3,12.0
2008,4,6.0
2008,5,8.0
2008,6,14.0
2008,7,22.0
2008,8,20.0
2008,9,14.0
2008,10,11.0
2008,11,18.0
2008,12,8.0
2009,1,9.0
2009,2,10.0
2009,3,17.0
2009,4,23.0
2009,5,17.0
2009,6,23.0
2009,7,24.0
2009,8,14.0
2009,9,11.0
2009,10,5.0
2009,11,6.0
2009,12,2.0
