year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,1.0
2005,12,13.0
2006,1,20.0
2006,2,21.0
2006,3,24.0
2006,4,28.0
2006,5,41.0
2006,6,46.0
2006,7,59.0
2006,8,64.0
2006,9,88.0
2006,10,74.0
2006,11,94.0
2006,12,100.0
2007,1,91.0
2007,2,104.0
2007,3,95.0
2007,4,85.0
2007,5,73.0
2007,6,80.0
2007,7,72.0
2007,8,66.0
2007,9,70.0
2007,10,68.0
2007,11,68.0
2007,12,76.0
2008,1,60.0
2008,2,50.0
2008,3,56.0
2008,4,50.0
2008,5,29.0
2008,6,21.0
2008,7,10.0
2008,8,10.0
2008,9,15.0
2008,10,4.0
2008,11,3.0
2008,12,3.0
2009,1,4.0
2009,2,1.0
2009,3,4.0
2009,4,0.0
2009,5,2.0
2009,6,0.0
2009,7,0.0
2009,8,0.0
2009,9,0.0
2009,10,1.0
2009,11,0.0
2009,12,0.0
