year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,2.0
2005,12,1.0
2006,1,3.0
2006,2,0.0
2006,3,3.0
2006,4,3.0
2006,5,11.0
2006,6,6.0
2006,7,5.0
2006,8,2.0
2006,9,4.0
2006,10,5.0
2006,11,8.0
2006,12,4.0
2007,1,11.0
2007,2,14.0
2007,3,13.0
2007,4,13.0
2007,5,24.0
2007,6,20.0
2007,7,34.0
2007,8,20.0
2007,9,31.0
2007,10,16.0
2007,11,14.0
2007,12,22.0
2008,1,17.0
2008,2,18.0
2008,3,20.0
2008,4,14.0
2008,5,19.0
2008,6,19.0
2008,7,23.0
2008,8,16.0
2008,9,13.0
2008,10,3.0
2008,11,7.0
2008,12,6.0
2009,1,3.0
2009,2,4.0
2009,3,3.0
2009,4,6.0
2009,5,4.0
2009,6,4.0
2009,7,8.0
2009,8,4.0
2009,9,2.0
2009,10,1.0
2009,11,7.0
2009,12,8.0
