year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,1.0
2005,11,2.0
2005,12,4.0
2006,1,7.0
2006,2,1.0
2006,3,17.0
2006,4,11.0
2006,5,26.0
2006,6,26.0
2006,7,50.0
2006,8,52.0
2006,9,59.0
2006,10,90.0
2006,11,83.0
2006,12,115.0
2007,1,67.0
2007,2,107.0
2007,3,114.0
2007,4,106.0
2007,5,99.0
2007,6,113.0
2007,7,134.0
2007,8,132.0
2007,9,152.0
2007,10,120.0
2007,11,121.0
2007,12,170.0
2008,1,123.0
2008,2,103.0
2008,3,185.0
2008,4,128.0
2008,5,112.0
2008,6,105.0
2008,7,82.0
2008,8,75.0
2008,9,74.0
2008,10,41.0
2008,11,25.0
2008,12,21.0
2009,1,16.0
2009,2,13.0
2009,3,13.0
2009,4,7.0
2009,5,3.0
2009,6,4.0
2009,7,1.0
2009,8,3.0
2009,9,2.0
2009,10,1.0
2009,11,4.0
2009,12,0.0
