year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,1.0
2005,10,6.0
2005,11,10.0
2005,12,19.0
2006,1,27.0
2006,2,20.0
2006,3,23.0
2006,4,32.0
2006,5,37.0
2006,6,51.0
2006,7,59.0
2006,8,75.0
2006,9,79.0
2006,10,122.0
2006,11,133.0
2006,12,125.0
2007,1,134.0
2007,2,120.0
2007,3,156.0
2007,4,135.0
2007,5,118.0
2007,6,136.0
2007,7,179.0
2007,8,133.0
2007,9,204.0
2007,10,191.0
2007,11,198.0
2007,12,171.0
2008,1,175.0
2008,2,153.0
2008,3,168.0
2008,4,131.0
2008,5,94.0
2008,6,78.0
2008,7,89.0
2008,8,95.0
2008,9,69.0
2008,10,49.0
2008,11,42.0
2008,12,12.0
2009,1,8.0
2009,2,8.0
2009,3,9.0
2009,4,4.0
2009,5,2.0
2009,6,2.0
2009,7,1.0
2009,8,1.0
2009,9,2.0
2009,10,1.0
2009,11,0.0
2009,12,1.0
