year,month,number_repair
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,0.0
2005,5,0.0
2005,6,0.0
2005,7,0.0
2005,8,0.0
2005,9,0.0
2005,10,0.0
2005,11,0.0
2005,12,0.0
2006,1,0.0
2006,2,0.0
2006,3,0.0
2006,4,0.0
2006,5,0.0
2006,6,0.0
2006,7,0.0
2006,8,0.0
2006,9,0.0
2006,10,0.0
2006,11,0.0
2006,12,0.0
2007,1,0.0
2007,2,0.0
2007,3,0.0
2007,4,0.0
2007,5,0.0
2007,6,0.0
2007,7,1.0
2007,8,23.0
2007,9,32.0
2007,10,37.0
2007,11,42.0
2007,12,28.0
2008,1,31.0
2008,2,23.0
2008,3,49.0
2008,4,28.0
2008,5,28.0
2008,6,37.0
2008,7,47.0
2008,8,38.0
2008,9,47.0
2008,10,35.0
2008,11,34.0
2008,12,31.0
2009,1,29.0
2009,2,20.0
2009,3,31.0
2009,4,26.0
2009,5,23.0
2009,6,36.0
2009,7,45.0
2009,8,28.0
2009,9,35.0
2009,10,14.0
2009,11,14.0
2009,12,8.0
